"","date","trust_code","covid_flag","admitted_pathways","non_admitted_pathways","incomplete_pathways","incomplete_pathways_with_dta","new_rtt_periods_all_patients","audiology_audiology_assessments","barium_enema","cardiology_echocardiography","cardiology_electrophysiology","colonoscopy","computed_tomography","cystoscopy","dexa_scan","flexi_sigmoidoscopy","gastroscopy","magnetic_resonance_imaging","neurophysiology_peripheral_neurophysiology","non_obstetric_ultrasound","respiratory_physiology_sleep_studies","total","urodynamics_pressures_flows","audiology_assessments","ct","echocardiography","electrophysiology","mri","peripheral_neurophys","sleep_studies","urodynamics","all_diagnostics_tests","operating_theatres","X","occupied_beds","bed_capacity","ratio_doctors","doctors","senior_doctors","nurses","managers","all_ftes","CatchmentYear","trust_total_catchment","date_yr","total_pathways","years_since_covid"
"42",2018 Q2,"RD1","pre-covid",2721,16380,68907,9861,28237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5151,603.282608695652,642.989130434783,0,0,0,0,0,0,2020,355202,2018,19101,"0_yrs"
"43",2018 Q2,"RD3","pre-covid",3558,9181,44792,8293,17290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5152,465.467391304348,544.021739130435,0,0,0,0,0,0,0,0,2018,12739,"0_yrs"
"44",2018 Q2,"RD8","pre-covid",4612,10140,43124,11546,22562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5058,455.445652173913,536,0,0,0,0,0,0,2020,245764,2018,14752,"0_yrs"
"45",2018 Q2,"RDD","pre-covid",4034,20208,82662,8958,29143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5059,646.423913043478,692,0,0,0,0,0,0,0,0,2018,24242,"0_yrs"
"46",2018 Q2,"RDE","pre-covid",2965,19711,66641,10220,25148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5060,1115.47826086957,1273.38043478261,0,0,0,0,0,0,2020,646089,2018,22676,"0_yrs"
"47",2018 Q2,"RDU","pre-covid",10901,21556,109009,27717,41554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5171,1200.39130434783,1376.20652173913,0,0,0,0,0,0,2020,674115,2018,32457,"0_yrs"
"48",2018 Q2,"RDZ","pre-covid",11132,14744,77560,20499,33627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5154,498.554347826087,551,0,0,0,0,0,0,0,0,2018,25876,"0_yrs"
"49",2018 Q2,"RE9","pre-covid",1557,3536,12265,908,9414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4999,240.119565217391,334,0,0,0,0,0,0,0,0,2018,5093,"0_yrs"
"50",2018 Q2,"REF","pre-covid",7513,22118,77678,25244,33713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5155,631.260869565217,751.489130434783,0,0,0,0,0,0,2020,421838,2018,29631,"0_yrs"
"51",2018 Q2,"REM","pre-covid",2322,21954,55177,4931,28366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5000,730.532608695652,798,0,0,0,0,0,0,2020,557407,2018,24276,"0_yrs"
