,cal_quarter,PROCODE,standard_los
353,Q1   2020,RXP,6.413872821
354,Q1   2020,RXQ,8.703726475
355,Q1   2020,RXR,6.850657816
356,Q1   2020,RXW,6.236797286
357,Q1   2020,RYJ,7.16963454
358,Q1   2020,RYR,7.229258458
359,Q1   2021,R0A,6.963826657
360,Q1   2021,R0B,6.179777748
361,Q1   2021,R0D,0
362,Q1   2021,R1F,6.886030107
363,Q1   2021,R1H,7.066223496
364,Q1   2021,R1K,6.555797608
365,Q1   2021,RA2,6.177763319
366,Q1   2021,RA4,7.435530179
367,Q1   2021,RA7,6.849605968
368,Q1   2021,RA9,5.718631541
369,Q1   2021,RAE,5.4598529
370,Q1   2021,RAJ,6.484309467
371,Q1   2021,RAL,6.8095329
372,Q1   2021,RAP,7.233614421
373,Q1   2021,RAS,5.917639613
374,Q1   2021,RAX,6.257702447
375,Q1   2021,RBK,6.009978297
376,Q1   2021,RBL,7.149852707
377,Q1   2021,RBN,6.18585347
378,Q1   2021,RBT,7.431915784
379,Q1   2021,RBZ,5.575196519
380,Q1   2021,RC9,6.425993862
381,Q1   2021,RCB,5.953430323
382,Q1   2021,RCD,6.81385463
383,Q1   2021,RCF,6.893999788
384,Q1   2021,RCX,7.504448342
385,Q1   2021,RD1,6.011120668
386,Q1   2021,RD8,6.329131785
387,Q1   2021,RDE,6.363518875
388,Q1   2021,RDU,7.041376536
389,Q1   2021,REF,5.870491068
390,Q1   2021,REM,7.535528462
391,Q1   2021,RF4,7.115816397
392,Q1   2021,RFF,5.305392799
393,Q1   2021,RFR,6.18807979
394,Q1   2021,RFS,5.1769041
395,Q1   2021,RGN,7.25910946
396,Q1   2021,RGP,8.166291734
397,Q1   2021,RGR,7.53750173
398,Q1   2021,RGT,8.297736139
399,Q1   2021,RH5,8.386633713
400,Q1   2021,RH8,7.15335089
401,Q1   2021,RHM,6.576153595
402,Q1   2021,RHQ,7.201337106
403,Q1   2021,RHU,6.972550337
404,Q1   2021,RHW,5.967113491
405,Q1   2021,RJ1,7.146650861
406,Q1   2021,RJ2,7.046129679
407,Q1   2021,RJ6,7.5756224
408,Q1   2021,RJ7,7.668466601
409,Q1   2021,RJC,6.296753615
410,Q1   2021,RJE,6.449807145
411,Q1   2021,RJL,6.298228895
412,Q1   2021,RJN,8.397745747
413,Q1   2021,RJR,8.238374171
414,Q1   2021,RJZ,8.368146432
415,Q1   2021,RK5,6.343841958
416,Q1   2021,RK9,7.014656078
417,Q1   2021,RKB,6.456393592
418,Q1   2021,RKE,6.876163652
419,Q1   2021,RL4,7.530332138
420,Q1   2021,RLQ,6.706749357
421,Q1   2021,RLT,7.435139937
422,Q1   2021,RM1,6.733141573
423,Q1   2021,RM3,8.047090654
424,Q1   2021,RMC,6.791501556
425,Q1   2021,RMP,6.320826848
426,Q1   2021,RN3,6.05345203
427,Q1   2021,RN5,5.665712617
428,Q1   2021,RN7,7.031859618
429,Q1   2021,RNA,6.889048933
430,Q1   2021,RNN,7.819376945
431,Q1   2021,RNQ,8.316708347
432,Q1   2021,RNS,6.897665676
433,Q1   2021,RNZ,8.395782389
434,Q1   2021,RP5,6.803752871
435,Q1   2021,RPA,6.589219167
436,Q1   2021,RQM,6.218053987
437,Q1   2021,RQW,7.165925618
438,Q1   2021,RQX,6.373996452
439,Q1   2021,RR7,6.472273493
440,Q1   2021,RR8,7.998960208
441,Q1   2021,RRF,5.313010715
442,Q1   2021,RRK,7.048931526
443,Q1   2021,RRV,7.450857697
444,Q1   2021,RTD,6.472411071
445,Q1   2021,RTE,6.429104431
446,Q1   2021,RTF,5.72094701
447,Q1   2021,RTG,6.621597696
