,cal_quarter,PROCODE,elective_proportion,emergency_proportion
355,Q1   2020,RXR,0.155060596,0.844939404
356,Q1   2020,RXW,0.087023395,0.912976605
357,Q1   2020,RYJ,0.255553345,0.744446655
358,Q1   2020,RYR,0.091604604,0.908395396
359,Q1   2021,R0A,0.17730081,0.82269919
360,Q1   2021,R0B,0.135877542,0.864122458
361,Q1   2021,R0D,0.087517583,0.912482417
362,Q1   2021,R1F,0.049244713,0.950755287
363,Q1   2021,R1H,0.071493336,0.928506664
364,Q1   2021,R1K,0.041888763,0.958111237
365,Q1   2021,RA2,0.107250557,0.892749443
366,Q1   2021,RA4,0.060963809,0.939036191
367,Q1   2021,RA7,0.122103079,0.877896921
368,Q1   2021,RA9,0.070576783,0.929423217
369,Q1   2021,RAE,0.056367205,0.943632795
370,Q1   2021,RAJ,0.061137072,0.938862928
371,Q1   2021,RAL,0.087996882,0.912003118
372,Q1   2021,RAP,0.026218763,0.973781237
373,Q1   2021,RAS,0.049578582,0.950421418
374,Q1   2021,RAX,0.069423316,0.930576684
375,Q1   2021,RBK,0.061821614,0.938178386
376,Q1   2021,RBL,0.080343285,0.919656715
377,Q1   2021,RBN,0.062615812,0.937384188
378,Q1   2021,RBT,0.038870841,0.961129159
379,Q1   2021,RBZ,0.214420063,0.785579937
380,Q1   2021,RC9,0.06727288,0.93272712
381,Q1   2021,RCB,0.089822528,0.910177472
382,Q1   2021,RCD,0.076791809,0.923208191
383,Q1   2021,RCF,0.058020478,0.941979522
384,Q1   2021,RCX,0.034253224,0.965746776
385,Q1   2021,RD1,0.091282165,0.908717835
386,Q1   2021,RD8,0.088288288,0.911711712
387,Q1   2021,RDE,0.077544426,0.922455574
388,Q1   2021,RDU,0.081842258,0.918157742
389,Q1   2021,REF,0.163699522,0.836300478
390,Q1   2021,REM,0.066291616,0.933708384
391,Q1   2021,RF4,0.045697378,0.954302622
392,Q1   2021,RFF,0.092337644,0.907662356
393,Q1   2021,RFR,0.109646878,0.890353122
394,Q1   2021,RFS,0.06038961,0.93961039
395,Q1   2021,RGN,0.047811695,0.952188305
396,Q1   2021,RGP,0.064013841,0.935986159
397,Q1   2021,RGR,0.067157479,0.932842521
398,Q1   2021,RGT,0.136803748,0.863196252
399,Q1   2021,RH5,0.091744214,0.908255786
400,Q1   2021,RH8,0.143267611,0.856732389
401,Q1   2021,RHM,0.15244746,0.84755254
402,Q1   2021,RHQ,0.162674651,0.837325349
403,Q1   2021,RHU,0.077754237,0.922245763
404,Q1   2021,RHW,0.106040808,0.893959192
405,Q1   2021,RJ1,0.275601425,0.724398575
406,Q1   2021,RJ2,0.038888889,0.961111111
407,Q1   2021,RJ6,0.10484029,0.89515971
408,Q1   2021,RJ7,0.24073903,0.75926097
409,Q1   2021,RJC,0.079445571,0.920554429
410,Q1   2021,RJE,0.074957581,0.925042419
411,Q1   2021,RJL,0.097044285,0.902955715
412,Q1   2021,RJN,0.044612476,0.955387524
413,Q1   2021,RJR,0.125061953,0.874938047
414,Q1   2021,RJZ,0.138312377,0.861687623
415,Q1   2021,RK5,0.054821392,0.945178608
416,Q1   2021,RK9,0.134018909,0.865981091
417,Q1   2021,RKB,0.105064154,0.894935846
418,Q1   2021,RKE,0.042489035,0.957510965
419,Q1   2021,RL4,0.056338028,0.943661972
420,Q1   2021,RLQ,0.065333883,0.934666117
421,Q1   2021,RLT,0.026568942,0.973431058
422,Q1   2021,RM1,0.115664691,0.884335309
423,Q1   2021,RM3,0.147362869,0.852637131
424,Q1   2021,RMC,0.099192327,0.900807673
425,Q1   2021,RMP,0.037439614,0.962560386
426,Q1   2021,RN3,0.124454582,0.875545418
427,Q1   2021,RN5,0.075786616,0.924213384
428,Q1   2021,RN7,0.162144128,0.837855872
429,Q1   2021,RNA,0.085317698,0.914682302
430,Q1   2021,RNN,0.053057307,0.946942693
431,Q1   2021,RNQ,0.087356693,0.912643307
432,Q1   2021,RNS,0.085417064,0.914582936
433,Q1   2021,RNZ,0.089624631,0.910375369
434,Q1   2021,RP5,0.114121939,0.885878061
435,Q1   2021,RPA,0.050747267,0.949252733
436,Q1   2021,RQM,0.050684388,0.949315612
437,Q1   2021,RQW,0.046601942,0.953398058
438,Q1   2021,RQX,0.039942252,0.960057748
439,Q1   2021,RR7,0.096986301,0.903013699
440,Q1   2021,RR8,0.199762262,0.800237738
441,Q1   2021,RRF,0.083275503,0.916724497
442,Q1   2021,RRK,0.065492012,0.934507988
443,Q1   2021,RRV,0.6926456,0.3073544
444,Q1   2021,RTD,0.178335447,0.821664553
445,Q1   2021,RTE,0.099934254,0.900065746
446,Q1   2021,RTF,0.086054552,0.913945448
447,Q1   2021,RTG,0.075909602,0.924090398
448,Q1   2021,RTH,0.107801265,0.892198735
449,Q1   2021,RTK,0.096692112,0.903307888
450,Q1   2021,RTP,0.077971716,0.922028284
451,Q1   2021,RTR,0.162000878,0.837999122
452,Q1   2021,RTX,0.090555267,0.909444733
453,Q1   2021,RVJ,0.110782468,0.889217532
454,Q1   2021,RVR,0.095018587,0.904981413
455,Q1   2021,RVV,0.076633471,0.923366529
456,Q1   2021,RVW,0.087233076,0.912766924
457,Q1   2021,RVY,0.048873547,0.951126453
458,Q1   2021,RWA,0.157604702,0.842395298
459,Q1   2021,RWD,0.094035327,0.905964673
460,Q1   2021,RWE,0.076725124,0.923274876
461,Q1   2021,RWF,0.37335816,0.62664184
462,Q1   2021,RWG,0.070806672,0.929193328
463,Q1   2021,RWH,0.093742271,0.906257729
464,Q1   2021,RWJ,0.064074612,0.935925388
465,Q1   2021,RWP,0.045259527,0.954740473
466,Q1   2021,RWW,0.095720524,0.904279476
467,Q1   2021,RWY,0.048010974,0.951989026
468,Q1   2021,RX1,0.108931872,0.891068128
469,Q1   2021,RXC,0.062236866,0.937763134
470,Q1   2021,RXF,0.07910628,0.92089372
471,Q1   2021,RXK,0.065195698,0.934804302
472,Q1   2021,RXL,0.114971783,0.885028217
473,Q1   2021,RXN,0.166183575,0.833816425
474,Q1   2021,RXP,0.04502353,0.95497647
475,Q1   2021,RXQ,0.066829865,0.933170135
476,Q1   2021,RXR,0.133468004,0.866531996
477,Q1   2021,RXW,0.058947925,0.941052075
478,Q1   2021,RYJ,0.219413821,0.780586179
479,Q1   2021,RYR,0.031896137,0.968103863
480,Q1   2022,R0A,0.181079999,0.818920001
481,Q1   2022,R0B,0.133525331,0.866474669
482,Q1   2022,R0D,0.137256051,0.862743949
483,Q1   2022,R1F,0.128310128,0.871689872
484,Q1   2022,R1H,0.209683631,0.790316369
485,Q1   2022,R1K,0.087308369,0.912691631
486,Q1   2022,RA2,0.133870968,0.866129032
487,Q1   2022,RA4,0.078770238,0.921229762
488,Q1   2022,RA7,0.162961133,0.837038867
489,Q1   2022,RA9,0.062657272,0.937342728
490,Q1   2022,RAE,0.079186676,0.920813324
491,Q1   2022,RAJ,0.121110547,0.878889453
492,Q1   2022,RAL,0.236388097,0.763611903
493,Q1   2022,RAP,0.060067275,0.939932725
494,Q1   2022,RAS,0.111734879,0.888265121
495,Q1   2022,RAX,0.074471047,0.925528953
496,Q1   2022,RBK,0.09992322,0.90007678
497,Q1   2022,RBL,0.120027169,0.879972831
498,Q1   2022,RBN,0.097414046,0.902585954
499,Q1   2022,RBT,0.100154083,0.899845917
500,Q1   2022,RBZ,0.126231816,0.873768184
501,Q1   2022,RC9,0.156382135,0.843617865
502,Q1   2022,RCB,0.108045977,0.891954023
503,Q1   2022,RCD,0.119389383,0.880610617
504,Q1   2022,RCF,0.080234475,0.919765525
505,Q1   2022,RCX,0.068262411,0.931737589
506,Q1   2022,RD1,0.104201505,0.895798495
507,Q1   2022,RD8,0.091507571,0.908492429
508,Q1   2022,RDE,0.144990338,0.855009662
509,Q1   2022,RDU,0.137442182,0.862557818
