CatchmentYear,TrustCode,trust_total_catchment
2015,RBZ,145794
2015,RC9,523960
2015,RCB,450265
2015,RCD,181466
2015,RCF,147415
2015,RCU,229799
2015,RCX,194009
2015,RD1,338357
2015,RD8,227570
2015,RDE,636781
2015,RDU,688645
2015,REF,400573
2015,REM,540318
2015,REN,9244
2015,REP,96854
2015,RET,48537
2015,RF4,476772
2015,RFF,167805
2015,RFR,218347
2015,RFS,215457
2015,RGM,131500
2015,RGN,476633
2015,RGP,181937
2015,RGR,226183
2015,RGT,601782
2015,RH5,305524
2015,RH8,427215
2015,RHM,659693
2015,RHQ,699226
2015,RHU,565197
2015,RHW,443930
2015,RJ1,1137301
2015,RJ2,356163
2015,RJ6,221909
2015,RJ7,534816
2015,RJC,205938
2015,RJE,590031
2015,RJL,326735
2015,RJN,141060
2015,RJR,187149
2015,RJZ,899491
2015,RK5,295161
2015,RK9,464247
2015,RKB,521681
2015,RKE,162769
2015,RL1,103076
2015,RL4,407850
2015,RLQ,159159
2015,RLT,140881
2015,RM1,602538
2015,RM3,402285
2015,RMC,291761
2015,RMP,202234
2015,RN3,314495
2015,RN5,415737
2015,RN7,237694
2015,RNA,316733
2015,RNN,235189
2015,RNQ,265819
2015,RNS,325753
2015,RNZ,242414
2015,RP4,410755
2015,RP5,378673
2015,RP6,240291
2015,RPA,277137
2015,RPC,179001
2015,RPY,102305
2015,RQ3,462625
2015,RQM,589737
2015,RQW,221977
2015,RQX,244365
2015,RR7,149986
2015,RR8,928169
2015,RRF,308261
2015,RRJ,142576
2015,RRK,1057287
2015,RRV,714947
2015,RTD,832975
2015,RTE,573541
2015,RTF,287569
2015,RTG,801478
2015,RTH,895516
2015,RTK,298347
2015,RTP,293113
2015,RTR,516218
2015,RTX,275720
2015,RVJ,447523
2015,RVR,371894
2015,RVV,612975
2015,RVW,218678
2015,RVY,145034
2015,RWA,544525
2015,RWD,466056
2015,RWE,957082
2015,RWF,435595
2015,RWG,344461
2015,RWH,356964
2015,RWJ,265658
2015,RWP,466048
2015,RWW,246596
2015,RWY,399297
2015,RX1,862303
2015,RXC,326894
2015,RXF,471673
2015,RXK,437537
2015,RXL,265392
2015,RXN,468725
2015,RXP,386419
2015,RXQ,392079
2015,RXR,421207
2015,RXW,324012
2015,RYJ,641123
2015,RYR,906050
2014,R0A,1377128
2014,R0B,444342
2014,R0D,520717
2014,R1F,106821
2014,R1H,1049226
2014,R1K,542696
2014,RA2,325348
2014,RA4,128137
2014,RA7,677121
2014,RA9,229889
2014,RAE,408585
2014,RAJ,1011341
2014,RAL,790286
2014,RAN,163562
2014,RAP,172666
2014,RAS,189788
2014,RAX,261405
2014,RBD,175027
2014,RBK,218903
2014,RBL,285255
2014,RBN,271706
2014,RBQ,49242
2014,RBS,291956
2014,RBT,206578
2014,RBV,89482
2014,RBZ,145610
2014,RC9,514249
2014,RCB,445544
2014,RCD,176120
2014,RCF,144188
2014,RCU,223908
2014,RCX,192211
2014,RD1,330064
2014,RD8,224955
2014,RDE,632062
2014,RDU,680219
2014,REF,396597
2014,REM,535255
2014,REN,10126
2014,REP,95283
2014,RET,46162
2014,RF4,473293
2014,RFF,168915
2014,RFR,219928
2014,RFS,216294
2014,RGM,130769
2014,RGN,474362
2014,RGP,180441
2014,RGR,220434
2014,RGT,598550
2014,RH5,302514
2014,RH8,418111
2014,RHM,644815
2014,RHQ,690809
2014,RHU,558935
2014,RHW,443435
2014,RJ1,1105256
2014,RJ2,344794
2014,RJ6,230412
2014,RJ7,518285
2014,RJC,202392
2014,RJE,563210
2014,RJL,329876
2014,RJN,142762
2014,RJR,185289
2014,RJZ,869139
2014,RK5,294424
2014,RK9,464058
2014,RKB,513961
2014,RKE,156033
2014,RL1,104623
2014,RL4,395041
2014,RLQ,160144
2014,RLT,135127
2014,RM1,600089
2014,RM3,395443
2014,RMC,292809
2014,RMP,206382
2014,RN3,311637
2014,RN5,414610
2014,RN7,226994
2014,RNA,316733
2014,RNN,242508
2014,RNQ,262591
2014,RNS,326643
2014,RNZ,244141
2014,RP4,402172
2014,RP5,377906
2014,RP6,228641
2014,RPA,288707
2014,RPC,177210
2014,RPY,103010
2014,RQ3,452596
2014,RQM,576288
2014,RQW,223461
2014,RQX,228823
2014,RR7,144988
2014,RR8,917262
2014,RRF,305231
2014,RRJ,140750
2014,RRK,1049192
2014,RRV,696773
2014,RTD,823374
2014,RTE,568846
2014,RTF,286681
2014,RTG,799955
2014,RTH,885891
2014,RTK,295282
2014,RTP,288001
2014,RTR,512347
2014,RTX,278160
2014,RVJ,469726
2014,RVR,375867
2014,RVV,604373
2014,RVW,226364
2014,RVY,145791
2014,RWA,543339
2014,RWD,469795
2014,RWE,947897
2014,RWF,430264
2014,RWG,345693
2014,RWH,340655
2014,RWJ,270494
2014,RWP,463332
2014,RWW,250284
2014,RWY,399496
2014,RX1,851520
2014,RXC,331604
2014,RXF,465406
2014,RXK,445585
2014,RXL,266762
2014,RXN,462048
2014,RXP,385286
2014,RXQ,393067
2014,RXR,422568
2014,RXW,323918
2014,RYJ,650111
2014,RYR,902486
2013,R0A,1351267
2013,R0B,450283
2013,R0D,518853
2013,R1F,99002
2013,R1H,1083040
2013,R1K,510666
2013,RA2,324828
2013,RA4,127295
2013,RA7,643571
2013,RA9,229207
2013,RAE,412201
2013,RAJ,997440
2013,RAL,845616
2013,RAN,159929
2013,RAP,155378
2013,RAS,187503
2013,RAX,261592
2013,RBD,174920
2013,RBK,228793
2013,RBL,285514
2013,RBN,262838
2013,RBQ,49558
2013,RBS,292164
2013,RBT,207765
2013,RBV,89750
2013,RBZ,145418
2013,RC9,510588
2013,RCB,444993
2013,RCD,172578
2013,RCF,143250
2013,RCU,217017
2013,RCX,189536
2013,RD1,320295
2013,RD8,222645
2013,RDE,628232
2013,RDU,673472
2013,REF,394732
2013,REM,530949
2013,REN,11082
2013,REP,93324
2013,RET,44170
2013,RF4,457867
2013,RFF,171052
2013,RFR,222959
2013,RFS,218708
2013,RGM,127994
2013,RGN,467484
2013,RGP,178959
2013,RGR,213997
2013,RGT,594396
2013,RH5,298884
2013,RH8,409295
2013,RHM,636262
2013,RHQ,679713
2013,RHU,555364
2013,RHW,441614
2013,RJ1,1091968
2013,RJ2,325988
2013,RJ6,246283
2013,RJ7,507662
2013,RJC,201578
2013,RJE,535331
2013,RJL,332670
2013,RJN,146540
2013,RJR,183480
2013,RJZ,817699
2013,RK5,290932
2013,RK9,463734
2013,RKB,511237
2013,RKE,150752
2013,RL1,103234
2013,RL4,381697
2013,RLQ,160694
2013,RLT,134903
2013,RM1,597897
2013,RM3,392573
2013,RMC,293217
2013,RMP,210912
2013,RN3,308553
2013,RN5,415244
2013,RN7,214028
2013,RNA,314197
2013,RNN,251549
2013,RNQ,260744
2013,RNS,328296
2013,RNZ,245926
2013,RP4,388663
2013,RP5,378001
2013,RP6,214449
2013,RPA,295319
2013,RPC,180520
2013,RPY,103340
2013,RQ3,441824
2013,RQM,556883
2013,RQW,226329
2013,RQX,218917
2013,RR7,140932
2013,RR8,911217
2013,RRF,302140
2013,RRJ,136916
2013,RRK,1045200
2013,RRV,639646
2013,RTD,811236
2013,RTE,569458
2013,RTF,280848
2013,RTG,797712
2013,RTH,872975
2013,RTK,293823
2013,RTP,285626
2013,RTR,508089
2013,RTX,280024
2013,RVJ,496915
2013,RVR,376888
2013,RVV,594078
2013,RVW,231320
2013,RVY,147353
2013,RWA,537572
2013,RWD,477192
2013,RWE,936387
2013,RWF,417641
2013,RWG,343275
2013,RWH,334934
2013,RWJ,276610
2013,RWP,456566
