"","date","trust_code","sick_ftes","total_ftes","sickness_rate"
"197",2009 Q2,"RX3",21279.15913,408313.27383,0.0521147865960868
"198",2009 Q2,"RX4",32414.37597,543336.56241,0.0596580061283272
"199",2009 Q2,"RX5",5751.63214,133511.92454,0.0430795388488076
"200",2009 Q2,"RX6",9860.02008,168680.50008,0.058453822909724
"201",2009 Q2,"RX7",25182.44545,417067.44672,0.0603797914415179
"202",2009 Q2,"RX8",15156.95098,325672.84554,0.0465404198955187
"203",2009 Q2,"RX9",14115.67486,280540.42032,0.0503160109473668
"204",2009 Q2,"RXA",9428.20024,218479.28983,0.0431537481073659
"205",2009 Q2,"RXC",15635.57764,412116.63194,0.0379396909229239
"206",2009 Q2,"RXE",12858.9679,219969.31121,0.0584580086615983
"207",2009 Q2,"RXF",25664.23071,559329.65062,0.0458839088568825
"208",2009 Q2,"RXG",8948.29221,203868.68676,0.0438924307220078
"209",2009 Q2,"RXH",18187.35469,478207.23931,0.0380323700583085
"210",2009 Q2,"RXK",19866.73698,549718.39364,0.036139843981663
"211",2009 Q2,"RXL",13507.20495,357133.80402,0.0378211325782075
"212",2009 Q2,"RXM",7859.15668,173252.45486,0.0453624549582905
"213",2009 Q2,"RXN",23370.25274,523207.21324,0.0446672984404744
"214",2009 Q2,"RXP",16951.01318,417413.50465,0.0406096424556589
"215",2009 Q2,"RXQ",13752.17003,359774.53037,0.0382244124281309
"216",2009 Q2,"RXR",23811.8385,474790.03921,0.0501523547958596
"217",2009 Q2,"RXT",16219.61343,337849.14903,0.0480084483757564
"218",2009 Q2,"RXV",14224.06987,254573.31258,0.0558741594939574
"219",2009 Q2,"RXW",14497.00372,356127.06528,0.040707391078524
"220",2009 Q2,"RXX",13281.41856,292069.59084,0.0454734726809535
"221",2009 Q2,"RXY",12070.41158,292080.62208,0.04132561583183
"222",2009 Q2,"RYA",17194.5445,296361.36573,0.0580188462070494
"223",2009 Q2,"RYC",19814.72549,338995.34636,0.0584513200631301
"224",2009 Q2,"RYD",13388.31328,262274.99466,0.0510468536939861
"225",2009 Q2,"RYE",7421.80514,195577.41161,0.0379481714115319
"226",2009 Q2,"RYF",10665.07796,200723.78125,0.0531331060703601
"227",2009 Q2,"RYG",14816.60593,255650.78526,0.0579564264390243
"228",2009 Q2,"RYH",17401.51085,241740.14043,0.07198436643185
"229",2009 Q2,"RYJ",22821.40066,794156.1247,0.0287366677032441
"230",2009 Q2,"RYK-X",5672.04985,101453.85364,0.0559076826211724
"231",2009 Q2,"RYQ",18517.51479,519407.51805,0.0356512259574522
"232",2009 Q2,"RYR",15878.3615,450486.96515,0.0352471053068382
"233",2009 Q2,"T1150",354.11111,12163.67793,0.029112174133338
"234",2009 Q2,"T1160",450.5737,28696.22243,0.0157014987285907
"235",2009 Q2,"T1190",56,16794.14722,0.00333449500390887
"236",2009 Q2,"T1240",325.40541,23941.69068,0.0135915802417342
"237",2009 Q2,"T1310",7175.72751,345640.8138,0.0207606486951281
"238",2009 Q2,"T1340",1294.13345,27001.9902,0.0479273357413484
"239",2009 Q2,"T1430",801.76441,44955.8878,0.0178344695041258
"240",2009 Q2,"T1440",539.64002,49548.0792,0.0108912399574916
"241",2009 Q2,"T1450",8816.85418,361614.25163,0.0243819322392783
"242",2009 Q2,"T1460",21990.45992,512597.73362,0.0429000334525513
"243",2009 Q2,"TAC",6543.54548,116912.46644,0.0559696128159111
"244",2009 Q2,"TAD",11379.72069,196436.04095,0.0579309205936224
"245",2009 Q2,"TAE",6973.71413,116315.65588,0.0599550772184495
"246",2009 Q2,"TAF",3673.71523,156083.97042,0.0235367874107415
"247",2009 Q2,"TAH",12288.37064,219148.67034,0.0560732155980463
"248",2009 Q2,"TAJ",4798.43638,83984.21604,0.0571349785263769
"249",2009 Q2,"TAK",1527.26196,43448.42809,0.0351511441757202
"250",2009 Q2,"TAL",4119.58416,102067.64957,0.0403613111240963
"251",2009 Q2,"TAM",5879.07216,119310.47788,0.0492754053496714
"252",2009 Q2,"TAN",6355.56616,123512.92096,0.0514566906085742
"253",2009 Q2,"X17",257.35,5709.01,0.0450778681417619
"254",2009 Q3,"NB7",883.625,153317.4551,0.00576336855724394
"255",2009 Q3,"RA2",8440.94702,236959.92156,0.0356218341246483
"256",2009 Q3,"RA3",5607.38329,136233.16446,0.0411601926170217
"257",2009 Q3,"RA4",5101.97198,147068.29573,0.0346911749719778
"258",2009 Q3,"RA7",25372.74635,610984.07746,0.0415276719738431
"259",2009 Q3,"RA9",11794.04731,306873.99231,0.0384328669276275
"260",2009 Q3,"RAE",22245.67329,414142.51505,0.0537150195442123
"261",2009 Q3,"RAJ",15505.69436,337387.04122,0.0459581799701939
"262",2009 Q3,"RAL",15871.12191,467968.742,0.0339149188515672
"263",2009 Q3,"RAN",3357.20156,87607.0691,0.0383211263028088
"264",2009 Q3,"RAP",6383.82079,177529.80271,0.0359591499148352
"265",2009 Q3,"RAS",7811.18583,219713.52779,0.0355516836335442
"266",2009 Q3,"RAT",7769.84464,194628.88515,0.0399213335369609
"267",2009 Q3,"RAX",6890.38756,217512.12106,0.0316781774110846
"268",2009 Q3,"RBA",10352.8112,333584.87399,0.0310350138966743
"269",2009 Q3,"RBB",1025.6139,24431.41655,0.0419793055347828
"270",2009 Q3,"RBD",9223.48792,214710.03167,0.0429578806740437
"271",2009 Q3,"RBF",2663.08126,71316.01892,0.0373419787072994
"272",2009 Q3,"RBK",11917.9306,227001.47635,0.0525015554595973
"273",2009 Q3,"RBL",22201.13517,462343.66602,0.0480186856697192
"274",2009 Q3,"RBN",17941.30398,333634.4898,0.0537753275770592
"275",2009 Q3,"RBQ",4113.08505,107654.46215,0.0382063591964172
"276",2009 Q3,"RBS",11365.42608,236059.7727,0.0481463908484057
"277",2009 Q3,"RBT",12078.64993,254118.47565,0.0475315692773006
"278",2009 Q3,"RBV",8189.34643,188986.57458,0.0433329534026416
"279",2009 Q3,"RBZ",7103.09119,194262.67262,0.0365643646007818
