"","date","trust_code","occupied_beds","bed_capacity"
"7002",2017 Q3,"RNU",480.065217391304,543.684782608696
"7003",2017 Q3,"RNZ",422.45652173913,484.391304347826
"7004",2017 Q3,"RPA",455.586956521739,502.782608695652
"7005",2017 Q3,"RPC",38.8695652173913,65.1739130434783
"7006",2017 Q3,"RTE",884.597826086957,990.423913043478
"7007",2017 Q3,"RTH",1026.32608695652,1074.47826086957
"7008",2017 Q3,"RTK",460.554347826087,543.554347826087
"7009",2017 Q3,"RTP",615.663043478261,692.945652173913
"7010",2017 Q3,"RTQ",185.434782608696,213.836956521739
"7011",2017 Q3,"RVJ",891.913043478261,945.630434782609
"7012",2017 Q3,"RVN",459.695652173913,533.108695652174
"7013",2017 Q3,"RVV",912.891304347826,1003
"7014",2017 Q3,"RW1",491.945652173913,620.04347826087
"7015",2017 Q3,"RWF",758.663043478261,839.04347826087
"7016",2017 Q3,"RWV",276.141304347826,282
"7017",2017 Q3,"RWX",175.347826086957,203.586956521739
"7018",2017 Q3,"RX2",564.576086956522,588.358695652174
"7019",2017 Q3,"RXC",693.467391304348,762.130434782609
"7020",2017 Q3,"RXH",815.782608695652,883.434782608696
"7021",2017 Q3,"RXQ",700.358695652174,744
"7022",2017 Q3,"RXX",174.521739130435,209.521739130435
"7023",2017 Q3,"RXY",431.54347826087,493.804347826087
"7024",2017 Q3,"RYR",940.652173913043,1020.96739130435
"7025",2018 Q3,"R0A",1915.85869565217,2190.46739130435
"7026",2018 Q3,"RAE",611.554347826087,677
"7027",2018 Q3,"RBL",719.521739130435,789.891304347826
"7028",2018 Q3,"RBN",669.423913043478,714.402173913043
"7029",2018 Q3,"RBQ",117.95652173913,146.608695652174
"7030",2018 Q3,"RBS",175.771739130435,223.619565217391
"7031",2018 Q3,"RBT",489.445652173913,544
"7032",2018 Q3,"RBV",150.326086956522,171.619565217391
"7033",2018 Q3,"RCB",913.880434782609,999
"7034",2018 Q3,"RCD",280.336956521739,329.978260869565
"7035",2018 Q3,"RCF",272.576086956522,316.369565217391
"7036",2018 Q3,"RCU",115.434782608696,160.315217391304
"7037",2018 Q3,"RE9",262.826086956522,334.880434782609
"7038",2018 Q3,"REM",751.619565217391,809.608695652174
"7039",2018 Q3,"REN",66,95
"7040",2018 Q3,"REP",77.5,122
"7041",2018 Q3,"RET",136.869565217391,166.239130434783
"7042",2018 Q3,"RFF",348.304347826087,433.54347826087
"7043",2018 Q3,"RFR",389.282608695652,441.086956521739
"7044",2018 Q3,"RGD",357.45652173913,401.347826086957
"7045",2018 Q3,"RHQ",1385.75,1470.66304347826
"7046",2018 Q3,"RJL",666.065217391304,786.195652173913
"7047",2018 Q3,"RJN",301.141304347826,338.641304347826
"7048",2018 Q3,"RJR",481.45652173913,514.347826086957
"7049",2018 Q3,"RLN",598.119565217391,761
"7050",2018 Q3,"RM3",740.152173913043,802.021739130435
"7051",2018 Q3,"RMC",545.771739130435,652.75
"7052",2018 Q3,"RMP",379.163043478261,454.728260869565
"7053",2018 Q3,"RNL",496.358695652174,562.826086956522
"7054",2018 Q3,"RNN",129.195652173913,145.163043478261
"7055",2018 Q3,"RP5",696.086956521739,821.04347826087
"7056",2018 Q3,"RQ6",683.25,757.108695652174
"7057",2018 Q3,"RR7",462.684782608696,501.380434782609
"7058",2018 Q3,"RR8",1660.80434782609,1859.51086956522
"7059",2018 Q3,"RRF",411.510869565217,475.847826086957
"7060",2018 Q3,"RT2",507.315217391304,557
"7061",2018 Q3,"RTD",1216.30434782609,1565.20652173913
"7062",2018 Q3,"RTF",749.913043478261,934.902173913043
"7063",2018 Q3,"RTR",782.641304347826,882.239130434783
"7064",2018 Q3,"RTV",263.880434782609,303
"7065",2018 Q3,"RTX",574.217391304348,669.097826086957
"7066",2018 Q3,"RV9",146.423913043478,197
"7067",2018 Q3,"RVW",496.847826086957,589.782608695652
"7068",2018 Q3,"RVY",385.597826086957,448.739130434783
"7069",2018 Q3,"RW4",667.402173913043,743.95652173913
"7070",2018 Q3,"RW5",486.217391304348,518
"7071",2018 Q3,"RW6",1061.9347826087,1212.46739130435
"7072",2018 Q3,"RWA",915.847826086957,1070.47826086957
"7073",2018 Q3,"RWJ",597.79347826087,675.271739130435
"7074",2018 Q3,"RWW",476.45652173913,567.315217391304
"7075",2018 Q3,"RWY",607.532608695652,711.391304347826
"7076",2018 Q3,"RX3",748.130434782609,849.315217391304
"7077",2018 Q3,"RX4",638.467391304348,778
"7078",2018 Q3,"RXA",294.271739130435,321.478260869565
"7079",2018 Q3,"RXE",290.880434782609,366
"7080",2018 Q3,"RXF",917.402173913043,1039.55434782609
"7081",2018 Q3,"RXG",402.173913043478,471
"7082",2018 Q3,"RXL",603.869565217391,715
"7083",2018 Q3,"RXN",754.847826086957,819.739130434783
"7084",2018 Q3,"RXP",801.184782608696,981.445652173913
"7085",2018 Q3,"RXR",839.45652173913,974.934782608696
"7086",2018 Q3,"RY6",9.42391304347826,11.2065217391304
"7087",2018 Q3,"TAD",179.326086956522,204.478260869565
"7088",2018 Q3,"TAH",147.663043478261,157
"7089",2018 Q3,"R1A",145.054347826087,156
"7090",2018 Q3,"R1L",539.70652173913,684.04347826087
"7091",2018 Q3,"RAJ",486.576086956522,573.239130434783
"7092",2018 Q3,"RBK",429.815217391304,488.369565217391
"7093",2018 Q3,"RC1",421.978260869565,425.815217391304
"7094",2018 Q3,"RC9",624.913043478261,709.771739130435
"7095",2018 Q3,"RCX",398.913043478261,471.5
"7096",2018 Q3,"RD8",480.010869565217,536.695652173913
"7097",2018 Q3,"RDD",646.423913043478,680
"7098",2018 Q3,"RDE",1136.98913043478,1295.38043478261
"7099",2018 Q3,"RFS",446,517.782608695652
"7100",2018 Q3,"RGM",166.021739130435,224.04347826087
"7101",2018 Q3,"RGN",730.413043478261,915.880434782609
"7102",2018 Q3,"RGP",377.478260869565,445.826086956522
"7103",2018 Q3,"RGR",357.815217391304,443.369565217391
"7104",2018 Q3,"RGT",910.380434782609,1000.58695652174
"7105",2018 Q3,"RHA",905.760869565217,991.695652173913
"7106",2018 Q3,"RJC",409.5,483.717391304348
"7107",2018 Q3,"RJE",1237.22826086957,1398
"7108",2018 Q3,"RK5",546.434782608696,654.652173913043
"7109",2018 Q3,"RKB",1064.30434782609,1134.23913043478
"7110",2018 Q3,"RL1",125.358695652174,160.29347826087
"7111",2018 Q3,"RL4",781.130434782609,859
"7112",2018 Q3,"RLQ",238.032608695652,264.130434782609
"7113",2018 Q3,"RLT",299.391304347826,321
"7114",2018 Q3,"RLY",142.804347826087,182
"7115",2018 Q3,"RM1",825.923913043478,958.989130434783
"7116",2018 Q3,"RMY",334.782608695652,404.54347826087
"7117",2018 Q3,"RNA",639.619565217391,690.554347826087
"7118",2018 Q3,"RNQ",556.086956521739,600
"7119",2018 Q3,"RNS",709.597826086957,835.478260869565
"7120",2018 Q3,"RP1",282.902173913043,323.021739130435
"7121",2018 Q3,"RP7",189.75,230
"7122",2018 Q3,"RQ3",321.271739130435,401.79347826087
"7123",2018 Q3,"RQ8",535.913043478261,586.467391304348
"7124",2018 Q3,"RQW",404.608695652174,453.619565217391
"7125",2018 Q3,"RRE",414.597826086957,472.902173913043
"7126",2018 Q3,"RRJ",71.5,114.021739130435
"7127",2018 Q3,"RRK",2483.51086956522,2574.69565217391
"7128",2018 Q3,"RT1",247.880434782609,296.5
"7129",2018 Q3,"RTG",1253.25,1456.92391304348
"7130",2018 Q3,"RWD",1219.66304347826,1276.4347826087
"7131",2018 Q3,"RWE",1405.03260869565,1658
"7132",2018 Q3,"RWG",625.663043478261,753.663043478261
"7133",2018 Q3,"RWH",559.04347826087,611.434782608696
"7134",2018 Q3,"RWP",729.630434782609,803.434782608696
"7135",2018 Q3,"RWR",378.869565217391,420.054347826087
"7136",2018 Q3,"RX1",1406.09782608696,1601.69565217391
"7137",2018 Q3,"RXK",604.826086956522,695.79347826087
"7138",2018 Q3,"RXM",244.369565217391,271
"7139",2018 Q3,"RXT",660.347826086957,678.25
"7140",2018 Q3,"RXW",659.815217391304,715.70652173913
"7141",2018 Q3,"RY3",60.1521739130435,75.9239130434783
"7142",2018 Q3,"RY5",14.4891304347826,16
"7143",2018 Q3,"RY8",32.0108695652174,58.6739130434783
"7144",2018 Q3,"RYG",280.29347826087,329
"7145",2018 Q3,"RYK",152.315217391304,166.760869565217
"7146",2018 Q3,"RYV",11.25,35.5760869565217
"7147",2018 Q3,"RYW",190.641304347826,257
"7148",2018 Q3,"TAJ",154.989130434783,195
"7149",2018 Q3,"R1H",1654.86956521739,1815.83695652174
"7150",2018 Q3,"R1K",1180.36956521739,1214.83695652174
"7151",2018 Q3,"RAL",926.271739130435,1059.97826086957
"7152",2018 Q3,"RAN",101.347826086957,167.728260869565
"7153",2018 Q3,"RAP",463.369565217391,515.521739130435
"7154",2018 Q3,"RAS",397.086956521739,478.576086956522
"7155",2018 Q3,"RAT",307.086956521739,348.869565217391
"7156",2018 Q3,"RAX",377.608695652174,414.95652173913
"7157",2018 Q3,"RF4",859.967391304348,974
"7158",2018 Q3,"RJ1",912.445652173913,1138
"7159",2018 Q3,"RJ2",874.858695652174,938.554347826087
"7160",2018 Q3,"RJ6",464.20652173913,510.576086956522
"7161",2018 Q3,"RJ7",807.630434782609,901
"7162",2018 Q3,"RJZ",1334.70652173913,1386.15217391304
"7163",2018 Q3,"RKE",278.130434782609,339.95652173913
"7164",2018 Q3,"RKL",651.510869565217,767
"7165",2018 Q3,"RP4",227.29347826087,290.347826086957
"7166",2018 Q3,"RP6",5.52173913043478,6
"7167",2018 Q3,"RPG",371.20652173913,396
"7168",2018 Q3,"RPY",156.315217391304,185.032608695652
"7169",2018 Q3,"RQM",765.586956521739,884
"7170",2018 Q3,"RQX",235.663043478261,307.79347826087
"7171",2018 Q3,"RQY",337.565217391304,394.315217391304
"7172",2018 Q3,"RRP",468.163043478261,482.04347826087
"7173",2018 Q3,"RRV",698.902173913043,923.304347826087
"7174",2018 Q3,"RT3",318.554347826087,403.565217391304
"7175",2018 Q3,"RV3",757.163043478261,840.934782608696
"7176",2018 Q3,"RVR",690.576086956522,863.423913043478
"7177",2018 Q3,"RWK",793.782608695652,945.45652173913
"7178",2018 Q3,"RYJ",1012.45652173913,1160.38043478261
"7179",2018 Q3,"RYX",0,4.26086956521739
"7180",2018 Q3,"TAF",185.423913043478,191
"7181",2018 Q3,"R1J",0,0
"7182",2018 Q3,"RA3",242.945652173913,242.945652173913
"7183",2018 Q3,"RA4",285.923913043478,345.586956521739
"7184",2018 Q3,"RA7",717.978260869565,813.586956521739
"7185",2018 Q3,"RA9",330.282608695652,377.5
"7186",2018 Q3,"RBA",440.858695652174,604.597826086957
"7187",2018 Q3,"RBD",265.065217391304,314.79347826087
"7188",2018 Q3,"RBZ",218.619565217391,285.79347826087
"7189",2018 Q3,"RD1",603.282608695652,634.913043478261
"7190",2018 Q3,"RD3",480.826086956522,559.847826086957
"7191",2018 Q3,"RDY",213.413043478261,232.934782608696
"7192",2018 Q3,"RDZ",534.5,554.434782608696
"7193",2018 Q3,"REF",632.021739130435,751.70652173913
"7194",2018 Q3,"RH5",288.445652173913,346
"7195",2018 Q3,"RH8",692.597826086957,824.815217391304
"7196",2018 Q3,"RJ8",227.326086956522,237.902173913043
"7197",2018 Q3,"RK9",815.782608695652,914.695652173913
"7198",2018 Q3,"RN3",560.978260869565,599.989130434783
"7199",2018 Q3,"RNZ",418.619565217391,487
"7200",2018 Q3,"RTE",883.597826086957,970.869565217391
"7201",2018 Q3,"RTQ",194.282608695652,215.271739130435
"7202",2018 Q3,"RVJ",857.315217391304,922.858695652174
"7203",2018 Q3,"RVN",455.358695652174,537.021739130435
"7204",2018 Q3,"RWV",280.260869565217,286
"7205",2018 Q3,"R1C",131.315217391304,146.880434782609
"7206",2018 Q3,"R1F",264.380434782609,301.923913043478
"7207",2018 Q3,"RA2",412.358695652174,496.521739130435
"7208",2018 Q3,"RDR",0,0
"7209",2018 Q3,"RDU",1236.60869565217,1338.79347826087
"7210",2018 Q3,"RHM",1008.27173913043,1182.52173913043
"7211",2018 Q3,"RHU",970.358695652174,1026.71739130435
"7212",2018 Q3,"RHW",519.5,637.45652173913
"7213",2018 Q3,"RN5",701.923913043478,806.358695652174
"7214",2018 Q3,"RN7",505.467391304348,544.304347826087
"7215",2018 Q3,"RNU",489.260869565217,536.869565217391
"7216",2018 Q3,"RPA",462.195652173913,493
"7217",2018 Q3,"RPC",38.8804347826087,66.0217391304348
"7218",2018 Q3,"RTH",946.989130434783,1016.28260869565
"7219",2018 Q3,"RTK",450.413043478261,534.565217391304
"7220",2018 Q3,"RTP",632.902173913043,700.619565217391
"7221",2018 Q3,"RVV",957.934782608696,1044
"7222",2018 Q3,"RW1",470.434782608696,576.20652173913
"7223",2018 Q3,"RWF",695.5,744.815217391304
"7224",2018 Q3,"RWX",170.282608695652,202.673913043478
"7225",2018 Q3,"RX2",567.119565217391,576.663043478261
"7226",2018 Q3,"RXC",646.782608695652,739.45652173913
"7227",2018 Q3,"RXH",829.271739130435,899.673913043478
"7228",2018 Q3,"RXQ",609.391304347826,632
"7229",2018 Q3,"RXX",183.782608695652,196.282608695652
"7230",2018 Q3,"RXY",419.086956521739,466.260869565217
"7231",2018 Q3,"RYR",900.554347826087,1012.11956521739
"7232",2019 Q3,"R1H",1718.51086956522,1828
"7233",2019 Q3,"R1K",1134.11956521739,1193.91304347826
"7234",2019 Q3,"RAL",933.663043478261,1072.88043478261
"7235",2019 Q3,"RAN",106.29347826087,159.836956521739
"7236",2019 Q3,"RAP",491.989130434783,524.434782608696
"7237",2019 Q3,"RAS",386.119565217391,457.010869565217
"7238",2019 Q3,"RAT",328.923913043478,375.021739130435
"7239",2019 Q3,"RAX",403.04347826087,431.423913043478
"7240",2019 Q3,"RF4",895.739130434783,981.445652173913
"7241",2019 Q3,"RJ1",924.728260869565,1145
"7242",2019 Q3,"RJ2",925.836956521739,1018.4347826087
"7243",2019 Q3,"RJ6",498.45652173913,515.869565217391
"7244",2019 Q3,"RJ7",826.054347826087,925.130434782609
"7245",2019 Q3,"RJZ",1376.84782608696,1429.90217391304
"7246",2019 Q3,"RKE",276.097826086957,330.336956521739
"7247",2019 Q3,"RKL",685.097826086957,802.641304347826
"7248",2019 Q3,"RP4",220.032608695652,234.923913043478
"7249",2019 Q3,"RP6",4.04347826086957,6.95652173913043
"7250",2019 Q3,"RPG",369.173913043478,397.891304347826
"7251",2019 Q3,"RPY",157.902173913043,190.369565217391
"7252",2019 Q3,"RQM",773.576086956522,872.217391304348
"7253",2019 Q3,"RQX",247.673913043478,307.510869565217
"7254",2019 Q3,"RQY",330.728260869565,369.391304347826
"7255",2019 Q3,"RRP",488.467391304348,489
"7256",2019 Q3,"RRV",714.5,903.217391304348
"7257",2019 Q3,"RT3",315.20652173913,400.597826086957
"7258",2019 Q3,"RV3",744.619565217391,835.597826086957
"7259",2019 Q3,"RVR",642.869565217391,849.141304347826
"7260",2019 Q3,"RWK",833.239130434783,912.815217391304
"7261",2019 Q3,"RYJ",1024.13043478261,1205.8152173913
"7262",2019 Q3,"RYX",0,0
"7263",2019 Q3,"TAF",183.978260869565,194
"7264",2019 Q3,"RA3",255.478260869565,259.152173913043
"7265",2019 Q3,"RA4",308.402173913043,351.728260869565
"7266",2019 Q3,"RA7",760.597826086957,819.760869565217
"7267",2019 Q3,"RA9",341.608695652174,381.097826086957
"7268",2019 Q3,"RBA",531.478260869565,614.586956521739
"7269",2019 Q3,"RBD",280.717391304348,327.858695652174
"7270",2019 Q3,"RBZ",233.989130434783,292.815217391304
"7271",2019 Q3,"RD1",630.086956521739,642.467391304348
"7272",2019 Q3,"RD3",524.282608695652,571.913043478261
"7273",2019 Q3,"RDY",211.836956521739,235.228260869565
"7274",2019 Q3,"RDZ",529.010869565217,570.304347826087
"7275",2019 Q3,"REF",654.467391304348,747.217391304348
"7276",2019 Q3,"RH5",291.445652173913,321.141304347826
"7277",2019 Q3,"RH8",719.521739130435,830.304347826087
"7278",2019 Q3,"RJ8",229.097826086957,252.945652173913
"7279",2019 Q3,"RK9",851.173913043478,937.945652173913
"7280",2019 Q3,"RN3",601.021739130435,642.423913043478
"7281",2019 Q3,"RNZ",435.271739130435,454.369565217391
"7282",2019 Q3,"RTE",890.195652173913,961.54347826087
"7283",2019 Q3,"RTQ",197.467391304348,214.554347826087
"7284",2019 Q3,"RVJ",867.010869565217,942.163043478261
"7285",2019 Q3,"RVN",443.891304347826,539.021739130435
