,cal_quarter,PROCODE,los_unadjusted
427,Q1   2021,RN5,6.320685143
428,Q1   2021,RN7,7.793831169
429,Q1   2021,RNA,7.309160893
430,Q1   2021,RNN,8.37071997
431,Q1   2021,RNQ,8.835194942
432,Q1   2021,RNS,7.70658484
433,Q1   2021,RNZ,9.410090936
434,Q1   2021,RP5,7.251309604
435,Q1   2021,RPA,6.890050469
436,Q1   2021,RQM,6.685939968
437,Q1   2021,RQW,7.913237221
438,Q1   2021,RQX,7.279349593
439,Q1   2021,RR7,6.706212342
440,Q1   2021,RR8,8.600235604
441,Q1   2021,RRF,5.793713873
442,Q1   2021,RRK,7.656714047
443,Q1   2021,RRV,7.549530316
444,Q1   2021,RTD,7.158580235
445,Q1   2021,RTE,6.861625671
446,Q1   2021,RTF,6.578528584
447,Q1   2021,RTG,7.091138708
448,Q1   2021,RTH,6.581293706
449,Q1   2021,RTK,7.145600991
450,Q1   2021,RTP,7.339036001
451,Q1   2021,RTR,7.525966713
452,Q1   2021,RTX,8.677304332
453,Q1   2021,RVJ,7.383972936
454,Q1   2021,RVR,7.870772719
455,Q1   2021,RVV,7.531810124
456,Q1   2021,RVW,6.208763805
457,Q1   2021,RVY,7.351321886
458,Q1   2021,RWA,7.137167661
459,Q1   2021,RWD,7.373963422
460,Q1   2021,RWE,6.972617265
461,Q1   2021,RWF,6.848336343
462,Q1   2021,RWG,7.082465019
463,Q1   2021,RWH,6.624373687
464,Q1   2021,RWJ,8.21481619
465,Q1   2021,RWP,6.553247689
466,Q1   2021,RWW,9.135299219
467,Q1   2021,RWY,6.290386071
468,Q1   2021,RX1,7.27139805
469,Q1   2021,RXC,8.310550199
470,Q1   2021,RXF,7.122604198
471,Q1   2021,RXK,6.57409121
472,Q1   2021,RXL,8.726099625
473,Q1   2021,RXN,8.0942664
474,Q1   2021,RXP,6.670585674
475,Q1   2021,RXQ,9.093655589
476,Q1   2021,RXR,7.573548163
477,Q1   2021,RXW,6.530865658
478,Q1   2021,RYJ,7.919099158
479,Q1   2021,RYR,7.52501959
480,Q1   2022,R0A,7.968885752
481,Q1   2022,R0B,7.733385611
482,Q1   2022,R0D,7.557266273
483,Q1   2022,R1F,7.399933066
484,Q1   2022,R1H,8.135307396
485,Q1   2022,R1K,7.205161172
486,Q1   2022,RA2,6.492372436
487,Q1   2022,RA4,8.632371795
488,Q1   2022,RA7,8.166567519
489,Q1   2022,RA9,8.849641501
490,Q1   2022,RAE,6.548410096
491,Q1   2022,RAJ,7.492749151
492,Q1   2022,RAL,7.498992305
493,Q1   2022,RAP,10.87873612
494,Q1   2022,RAS,7.396107613
495,Q1   2022,RAX,7.582827602
496,Q1   2022,RBK,7.019724244
497,Q1   2022,RBL,8.661317242
498,Q1   2022,RBN,7.875236057
499,Q1   2022,RBT,8.571766096
500,Q1   2022,RBZ,7.560490554
501,Q1   2022,RC9,7.075438758
502,Q1   2022,RCB,8.052815042
503,Q1   2022,RCD,8.751943224
504,Q1   2022,RCF,7.302638522
505,Q1   2022,RCX,7.827846093
506,Q1   2022,RD1,7.174620224
507,Q1   2022,RD8,7.742065899
508,Q1   2022,RDE,7.137054686
509,Q1   2022,RDU,8.747511312
510,Q1   2022,REF,7.980871747
511,Q1   2022,REM,8.980415519
512,Q1   2022,RF4,7.864740566
513,Q1   2022,RFF,6.13890883
514,Q1   2022,RFR,6.704169945
515,Q1   2022,RFS,6.272636151
516,Q1   2022,RGN,8.301006513
517,Q1   2022,RGP,9.18969555
518,Q1   2022,RGR,7.490026851
519,Q1   2022,RGT,8.744165946
520,Q1   2022,RH5,10.77078615
521,Q1   2022,RH8,7.69100346
522,Q1   2022,RHM,7.989197006
523,Q1   2022,RHQ,8.236565136
524,Q1   2022,RHU,7.208484134
525,Q1   2022,RHW,6.184571506
526,Q1   2022,RJ1,6.878404828
527,Q1   2022,RJ2,8.233169915
528,Q1   2022,RJ6,11.66270502
529,Q1   2022,RJ7,9.002047869
530,Q1   2022,RJC,7.007657945
531,Q1   2022,RJE,7.576667673
532,Q1   2022,RJL,7.001704788
533,Q1   2022,RJN,10.98865184
534,Q1   2022,RJR,9.699190367
535,Q1   2022,RJZ,8.899530207
536,Q1   2022,RK5,7.594848859
537,Q1   2022,RK9,9.9843942
538,Q1   2022,RKB,7.03910853
539,Q1   2022,RKE,8.992678725
540,Q1   2022,RL4,7.107139069
541,Q1   2022,RLQ,8.219553073
542,Q1   2022,RLT,8.287067276
543,Q1   2022,RM1,7.790601971
544,Q1   2022,RM3,8.850563168
545,Q1   2022,RMC,7.737325496
546,Q1   2022,RMP,8.644839666
547,Q1   2022,RN3,7.361438765
548,Q1   2022,RN5,7.461520577
549,Q1   2022,RN7,7.912186047
550,Q1   2022,RNA,7.711278427
551,Q1   2022,RNN,9.300035486
552,Q1   2022,RNQ,8.841067285
553,Q1   2022,RNS,8.966757991
554,Q1   2022,RNZ,9.328853755
555,Q1   2022,RP5,8.083202512
556,Q1   2022,RPA,7.710978836
557,Q1   2022,RQM,6.956
558,Q1   2022,RQW,8.495095635
559,Q1   2022,RQX,7.0002936
560,Q1   2022,RR7,8.627212135
561,Q1   2022,RR8,8.646346526
562,Q1   2022,RRF,7.358300395
563,Q1   2022,RRK,7.528686444
564,Q1   2022,RRV,8.628601546
565,Q1   2022,RTD,7.071258301
566,Q1   2022,RTE,7.955872739
567,Q1   2022,RTF,6.947161327
568,Q1   2022,RTG,7.54772785
569,Q1   2022,RTH,6.885152085
570,Q1   2022,RTK,7.417098446
571,Q1   2022,RTP,8.109122154
572,Q1   2022,RTR,7.362682156
573,Q1   2022,RTX,9.039415802
574,Q1   2022,RVJ,8.17614601
575,Q1   2022,RVR,7.849574431
576,Q1   2022,RVV,7.735871343
577,Q1   2022,RVW,5.934416366
578,Q1   2022,RVY,7.953125
579,Q1   2022,RWA,7.950577125
580,Q1   2022,RWD,8.351809245
581,Q1   2022,RWE,7.297124601
582,Q1   2022,RWF,7.328109453
583,Q1   2022,RWG,7.217057452
584,Q1   2022,RWH,6.874980942
585,Q1   2022,RWJ,8.78862088
586,Q1   2022,RWP,6.283964748
587,Q1   2022,RWW,9.640305011
588,Q1   2022,RWY,6.806478755
589,Q1   2022,RX1,7.550976139
590,Q1   2022,RXC,8.470072383
591,Q1   2022,RXF,7.116853721
592,Q1   2022,RXK,6.421738128
593,Q1   2022,RXL,9.278452092
594,Q1   2022,RXN,8.567409703
